Issuer Name,Theme,Issue Date,Amount Issued,Currency,Amount (USD),Country,Sector,Narrative
Federal Republic of Germany,Green,2022-02-22,1500000000,EUR,1701300000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2022-11-04,1000000000,EUR,998352000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2020-11-06,5000000000,EUR,5935000000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2023-05-03,5250000000,EUR,5789910000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2023-07-07,1000000000,EUR,1097449000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2022-07-20,1500000000,EUR,1529850000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2023-09-01,1500000000,EUR,1619338500,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2024-01-25,1000000000,EUR,1084658000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2024-03-28,1000000000,EUR,1082544000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2023-06-09,1000000000,EUR,1070550000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2023-11-02,1000000000,EUR,1052859000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2024-01-25,1000000000,EUR,1084658000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2021-12-10,3000000000,EUR,3381900000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2020-09-09,6500000000,EUR,7652450000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2023-06-20,4500000000,EUR,4914009000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2023-01-24,1500000000,EUR,1633168500,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Federal Republic of Germany,Green,2022-09-07,5000000000,EUR,4942500000,Germany,Sovereign,Climate Bonds aligned Germany sovereign issuance - Federal Republic of Germany.
Republic of Colombia,Green,2023-12-14,1086944300000,COP,273909964,Colombia,Sovereign,Climate Bonds aligned Colombia sovereign issuance - Republic of Colombia.
Republic of Colombia,Green,2022-06-29,644895000000,COP,156709485,Colombia,Sovereign,Climate Bonds aligned Colombia sovereign issuance - Republic of Colombia.
Republic of Colombia,Green,2021-09-29,751119000000,COP,196042059,Colombia,Sovereign,Climate Bonds aligned Colombia sovereign issuance - Republic of Colombia.
Republic of Colombia,Green,2021-10-08,85500000000,COP,22584227,Colombia,Sovereign,Climate Bonds aligned Colombia sovereign issuance - Republic of Colombia.
Republic of Colombia,Green,2021-10-27,660710100000,COP,175748887,Colombia,Sovereign,Climate Bonds aligned Colombia sovereign issuance - Republic of Colombia.
Government of Hungary,Green,2022-01-26,20799980000,HUF,65215718,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Government of Hungary,Green,2022-11-21,1000000000,EUR,1024333000,Hungary,Sovereign,Climate Bonds aligned Hungary sovereign issuance - Government of Hungary.
Republic of Chile,Social,2023-04-17,300000000000,CLP,376038000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2023-04-28,298800000000,CLP,371468160,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2023-05-05,300000000000,CLP,373515000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2023-05-18,1751200000000,CLP,2194568816,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2023-11-27,69380000000,CLP,79598286,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Sustainability,2022-10-24,1000000000000,CLP,1027530000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Sustainability,2022-01-31,1500000000,USD,1500000000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2021-05-26,1000000000,USD,1000000000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2020-11-23,1040000000000,CLP,1362400000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Republic of Chile,Social,2020-11-23,560000000000,CLP,733600000,Chile,Sovereign,Climate Bonds aligned Chile sovereign issuance - Republic of Chile.
Confederation of Switzerland,Green,2022-10-26,1066050000,CHF,1063340438,Switzerland,Sovereign,Climate Bonds aligned Switzerland sovereign issuance - Confederation of Switzerland.
Confederation of Switzerland,Green,2023-03-22,346100000,CHF,367078505,Switzerland,Sovereign,Climate Bonds aligned Switzerland sovereign issuance - Confederation of Switzerland.
Confederation of Switzerland,Green,2023-09-28,325250000,CHF,355526547,Switzerland,Sovereign,Climate Bonds aligned Switzerland sovereign issuance - Confederation of Switzerland.
Confederation of Switzerland,Green,2024-01-25,207600000,CHF,239419060,Switzerland,Sovereign,Climate Bonds aligned Switzerland sovereign issuance - Confederation of Switzerland.
Government of Canada,Green,2022-03-29,5000000000,CAD,3996034607,Canada,Sovereign,Climate Bonds aligned Canada sovereign issuance - Government of Canada.
Government of Canada,Green,2024-03-05,4000000000,CAD,2943092000,Canada,Sovereign,Climate Bonds aligned Canada sovereign issuance - Government of Canada.
Kingdom of Belgium,Green,2023-10-30,64000000,EUR,67933312,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2024-02-06,218000000,EUR,234494316,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2023-10-25,515000000,EUR,544198955,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2019-07-24,779000000,EUR,870306590,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2019-03-25,105000000,EUR,118624800,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2022-08-04,201000000,EUR,204638100,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2023-03-22,863000000,EUR,929746146,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2022-09-21,4500000000,EUR,4457700000,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2024-03-20,1087000000,EUR,1188842117,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2024-03-21,167000000,EUR,181394565,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2024-03-25,87000000,EUR,94290513,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2023-10-26,121000000,EUR,127826578,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2021-07-05,61000000,EUR,72382600,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2021-07-01,112000000,EUR,133100800,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2021-06-30,590000000,EUR,701156000,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2021-02-24,751000000,EUR,912164600,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2020-11-25,697000000,EUR,828733000,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2020-09-24,130000000,EUR,151385000,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2020-09-23,608000000,EUR,710873600,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2020-04-27,47000000,EUR,51004400,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2020-04-22,548000000,EUR,595511600,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2019-07-29,112000000,EUR,124585440,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2019-07-25,223000000,EUR,248479980,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2019-03-21,209000000,EUR,237599560,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2019-03-20,958000000,EUR,1087234200,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Kingdom of Belgium,Green,2018-03-05,4500000000,EUR,5547600000,Belgium,Sovereign,Climate Bonds aligned Belgium sovereign issuance - Kingdom of Belgium.
Republic of Austria,Green,2023-10-27,1250000000,EUR,1322326250,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2024-01-25,1250000000,EUR,1358363750,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2023-02-27,100000000,EUR,106095100,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2023-03-30,45000000,EUR,49069845,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2024-01-25,1250000000,EUR,1357995000,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2022-10-20,1000000000,EUR,973900000,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2023-02-23,1009927000,EUR,1070348913,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2023-05-25,1500000000,EUR,1653585000,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2023-12-29,111438000,EUR,123189806,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2023-11-29,1825194600,EUR,2002813412,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2023-08-24,1556323000,EUR,1680621849,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2023-04-25,3000000000,EUR,3292254000,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2023-03-16,50000000,EUR,53047500,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2024-03-18,150000000,EUR,163101900,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2024-02-29,1856150000,EUR,2005466131,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2023-03-01,160000000,EUR,170704960,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Austria,Green,2022-05-31,4000000000,EUR,4285200000,Austria,Sovereign,Climate Bonds aligned Austria sovereign issuance - Republic of Austria.
Republic of Argentina,Sustainability,2023-11-23,44291808266,ARS,124339065,Argentina,Sovereign,Climate Bonds aligned Argentina sovereign issuance - Republic of Argentina.
Republic of Argentina,Sustainability,2023-11-30,111059119142,ARS,308718808,Argentina,Sovereign,Climate Bonds aligned Argentina sovereign issuance - Republic of Argentina.
Egypt Government International Bond,Sustainability,2023-10-17,3500000000,CNY,478618931,Egypt,Sovereign,Climate Bonds aligned Egypt sovereign issuance - Egypt Government International Bond.
Federal Government of Nigeria,Green,2017-12-21,10690000000,NGN,29720000,Nigeria,Sovereign,Climate Bonds aligned Nigeria sovereign issuance - Federal Government of Nigeria.
Government of Ghana,Green,2020-09-02,35000000,EUR,41513500,Ghana,Sovereign,Climate Bonds aligned Ghana sovereign issuance - Government of Ghana.
